Rate,Rate_1,Rate_2,density,recip,sameX,se_density,se_recip,se_sameX,maxConv,sim
2.4749954220974,2.49068791898539,2.22491812878369,-5.10531477164611,4.85984149000559,0.369169414037796,0.189849647901493,0.236227526247165,0.135467718392044,0.0348475311148559,1
2.44899273910299,2.48070791589762,2.21827728491566,-5.0948450097453,4.84882823388326,0.370992961332566,0.202653394782388,0.24581011393748,0.134697538724741,0.0562292166316478,2
2.45877045198791,2.48712952943865,2.23056902681165,-5.10706877513734,4.86752340741179,0.370251282389297,0.205460094949692,0.254399199537676,0.135402059441185,0.0609702429237235,3
2.48277562492506,2.49637367503721,2.21479357673157,-5.10504525384864,4.87055578730797,0.358663483379194,0.206710565404939,0.236907945004294,0.136934584462542,0.0854055609271038,4
2.46607260695046,2.48394794931556,2.20352380629971,-5.10120356123527,4.86413119479576,0.366336762671654,0.187813089559195,0.223365231193336,0.133001703053376,0.0471021292971921,5
2.49138606537265,2.47818178250272,2.20389865325582,-5.10369196583339,4.85856512916375,0.374799538056269,0.205194075794791,0.247890351993459,0.142190794114133,0.061545617746504,6
2.46911874201383,2.48042686647994,2.20754474232515,-5.09232122864765,4.84198896759225,0.371322381591792,0.206399067508677,0.242485219417706,0.13119853052431,0.0742444569577156,7
2.46936327822275,2.49712816189259,2.22284142793821,-5.10310162347008,4.86586144096855,0.362601450540856,0.194058387213318,0.244415263511258,0.142454481615964,0.0431947288932467,8
2.46955333250702,2.50887442387905,2.23138146433004,-5.11625375352615,4.87879396550361,0.362889570030518,0.19601532795874901,0.244552010023229,0.138805788294943,0.156129415741654,9
2.4759598719763,2.4903787391409,2.2125511572156,-5.11363976613121,4.87142528173014,0.369693241642032,0.2028465535104,0.234011466374752,0.137155887926557,0.0716664013236596,10
2.47367810746603,2.49868613169789,2.21577355912189,-5.10211378931011,4.86175875751723,0.365480411151549,0.200872623086446,0.229240462922264,0.135875834417485,0.0232791518423117,11
2.46154652195956,2.49582576179057,2.22932796387939,-5.11172576165614,4.86901346330898,0.372711181562163,0.194537349491396,0.237171129751751,0.133966319692095,0.0942126646359341,12
2.45115528242466,2.47772490121331,2.20932228222068,-5.1070769272401,4.86824975380854,0.36882514768406,0.188484854279236,0.226888664452111,0.132267373309229,0.0548780330391674,13
2.45730928114595,2.50259744558167,2.21458955950524,-5.13043708291201,4.89946050555854,0.374053187226989,0.198556313942823,0.222221052293139,0.134157679750133,0.230397165942967,14
2.47436672528912,2.49093469863451,2.22281024248413,-5.09148326849548,4.85445945075013,0.36421879063763,0.192931006571739,0.2390372511422,0.134906460098187,0.035479434603493,15
2.47995037685927,2.49713521422029,2.21887147189712,-5.10912520996933,4.86018943747341,0.382376113721535,0.192867690400028,0.234213563541993,0.140363235799628,0.121302501961507,16
2.49770108954903,2.487839211925,2.21983721500904,-5.09424037250356,4.85102407395715,0.361835577331343,0.181076325119665,0.220911206765581,0.133963991982838,0.0685900791380586,17
2.44885666388502,2.49027022960443,2.22190452490698,-5.08851969373379,4.84290651663053,0.360905652405822,0.196085158919373,0.236212114358157,0.137756708573919,0.0989993629402971,18
2.45477590571325,2.50018181655161,2.21335157247296,-5.09744568037918,4.84353555066862,0.378876285661334,0.191266120442008,0.234001213264878,0.137921337896132,0.0688386057983877,19
2.45416910055485,2.4876682322531,2.21892950877047,-5.08170705599614,4.84644577064203,0.359956224460558,0.206873863030509,0.244043087720393,0.136528621922509,0.19811317499781,20
