Rate,Rate_1,Rate_2,density,recip,inIsDegree,se_density,se_recip,se_inIsDegree,maxConv,sim
3.13979863738178,3.22024987695114,2.84984789424119,-3.75973919052864,3.68152738084122,-2.81947816295676,0.197790301565177,0.238172659447572,0.507442563307405,0.0956005818601493,1
3.13318254802574,3.22014757514529,2.86106122620976,-3.78401507003338,3.7137523252037,-2.74998582372302,0.214237716153095,0.271999717680696,0.524119518137198,0.0872856515884221,2
3.1173182651212,3.2235430338699,2.84390412729338,-3.78211791205121,3.71143581279703,-2.76592581594177,0.203123483770395,0.249539973255483,0.561304225946954,0.109337951064209,3
3.13237734123774,3.24854702976026,2.89526343853118,-3.75995646202647,3.68480450387442,-2.81975683032398,0.212284677655319,0.265074542963579,0.558413125975171,0.122690432701025,4
3.15247478661363,3.24136273599393,2.87920197065763,-3.76121704241529,3.6849170390201,-2.82101644446502,0.180121066445594,0.241783829028969,0.492827022789611,0.0503361151587462,5
3.15791095201863,3.20870014836745,2.87252634043125,-3.79260011910988,3.72296231195334,-2.75743988145778,0.185041013199449,0.250026424241619,0.468714600937016,0.0730027273391377,6
3.14690158483808,3.21347933944449,2.90869132058237,-3.80470433892533,3.74025922841173,-2.72660687521236,0.213873404214972,0.265057564513789,0.534120883016813,0.147684723120991,7
3.16941223349952,3.23137911937957,2.88225619486357,-3.79633685442067,3.72999572382953,-2.77710463745993,0.198766024407683,0.250862989704232,0.551254603935122,0.161183713998776,8
3.1695753614128,3.25405526740165,2.88494597576609,-3.77228615154249,3.7049597939457,-2.80048304718497,0.179613533521333,0.23330386055702,0.476182421358584,0.0759309206518545,9
3.13130434358084,3.19643882784649,2.84227635285116,-3.79292593784867,3.72355587712312,-2.73867969351282,0.19028427405185,0.247182234020562,0.477027387295165,0.0889735066866288,10
3.1441098287157,3.22588380153365,2.86783624979177,-3.770115715143,3.69689718166471,-2.80128754764245,0.189178555163925,0.241764836606417,0.447752098580589,0.0537866149280825,11
3.15845171762397,3.24504301293681,2.87828736829619,-3.75252920779562,3.6752096351278,-2.82880680228885,0.186016425890848,0.237634189017272,0.535326084074527,0.0742617177788392,12
