sim,Rate,Rate_1,Rate_2,density,recip,sameXTransTrip,se_density,se_recip,se_sameXTransTrip,maxConv
1,2.45035008458615,2.45146619875162,2.19376300061736,-4.90243564374583,4.86747759548978,1.32780828388384,0.175975937722613,0.236760445763682,0.699120556568517,0.0625515608745556
2,2.44705161307682,2.47126872495786,2.2074084337751,-4.91068175413413,4.87597902217578,1.27971497746643,0.184186607844288,0.252795529846017,0.737077302688078,0.127058499953591
3,2.43920463259189,2.46303236928084,2.1975807582352,-4.89896906686591,4.86338042509949,1.34157154167506,0.17647028725962,0.235812400197529,0.705507924649254,0.0970744509376943
4,2.44365671191979,2.45984673408964,2.20366878606289,-4.91342942086404,4.89026086334656,1.30338202905388,0.178057579052867,0.241572344779058,0.693873028447606,0.0336832340048936
5,2.43016630423221,2.45927646335443,2.20558187446594,-4.90534985136926,4.8742439535595,1.3392836442393,0.182848826056937,0.254424460411909,0.706145569352583,0.0170118863528985
6,2.44468234869793,2.45652498575922,2.20586367225055,-4.90549875444102,4.87847329770064,1.33949805863164,0.17516452664975601,0.242266850853635,0.760985111732724,0.106592008736386
7,2.41806957934196,2.44417823741089,2.22543998955594,-4.90389123005466,4.87387621577266,1.33573983717862,0.173544954638064,0.223525398502806,0.642289892536331,0.055759508718109
8,2.43816274254681,2.4831122598475,2.20968689312492,-4.93129741156977,4.90913564159345,1.33537023717509,0.164140248950821,0.234834127538672,0.73988016546945,0.0838894713998887
9,2.44796146176275,2.47823664730585,2.2022584103018,-4.92238887325787,4.89388727701129,1.28571467685437,0.185831199267098,0.250610856878936,0.71848298874434,0.156338025138936
10,2.45117387451347,2.477198791014,2.219319976818,-4.92605980004918,4.89919631561377,1.36399916671246,0.179708403710818,0.247672664280701,0.65634342192083,0.0964535090214787
11,2.43884999820363,2.43940403229485,2.19976899253767,-4.91169167625897,4.87980808753398,1.3669979172672,0.184574215854194,0.250322228209111,0.66817201353172,0.0768680407638023
12,2.42448128014256,2.46582696804687,2.20504497510631,-4.91834578580908,4.88796840364108,1.29911635846018,0.176642421537389,0.239958378837972,0.712555848602954,0.0920415164136418
13,2.44069387940514,2.46369132623682,2.21280216127521,-4.91008637860677,4.87733796017863,1.31291996069608,0.193063936486355,0.248471489304823,0.680105961462783,0.0514384704026657
14,2.4250034383815,2.4657443331623,2.19637437659423,-4.89178952663213,4.85413189594728,1.35687210915191,0.184677027603385,0.247968734980424,0.675085759442618,0.164966066512457
15,2.45611673102665,2.43993977396861,2.20675098850825,-4.91127968411552,4.87851253786513,1.34929908897468,0.17331560755675,0.228616802100963,0.668944735187003,0.0242858193363433
16,2.45267623383118,2.45400106937772,2.19426783233489,-4.89270502435038,4.84748606747864,1.27210385423163,0.181627635989515,0.238556599452002,0.719755027265763,0.153302059083
17,2.4188996173773,2.45104515677298,2.18566956133733,-4.88948330829987,4.85268667206677,1.33551942849827,0.187541462069415,0.253674832855065,0.700275690714937,0.17149909175662
18,2.46750619936956,2.45651393628065,2.1998472418779502,-4.90505576828001,4.86857403994931,1.3211124135424,0.173229427510981,0.232437043808593,0.704608588262988,0.0627581781886967
19,2.43562443805745,2.49054288040708,2.20911356181291,-4.91825545796325,4.88985620413828,1.36051950911215,0.18846907143923,0.249094074242918,0.663867222401546,0.0642439557435615
20,2.4406151476571,2.45286639076063,2.21457713703009,-4.89463891791324,4.8552260217039,1.35188929949503,0.185991009472212,0.252242597522213,0.636779225539966,0.0879365749606855
21,2.46176719407974,2.4447452207822,2.20595789788927,-4.90171588448499,4.86554039647715,1.32235256543225,0.193651873912746,0.246501765407714,0.687516962819652,0.124156827841442
22,2.45259177778897,2.46670073517488,2.18915521447393,-4.91056764666091,4.88360032885959,1.32901357331573,0.188796012243422,0.245617106407066,0.708782555524589,0.0898241959054917
23,2.43946192894888,2.46329584083041,2.20852584700301,-4.92682434478871,4.90280164202684,1.29008616495741,0.1751609737463,0.240504083774362,0.764648045159709,0.125439080529366
24,2.44652035324466,2.46435073380095,2.19770138584289,-4.91915399145004,4.89037239506655,1.34093483965718,0.195659589341979,0.259006830689983,0.697970099454803,0.0989606166993121
25,2.43719111520877,2.45247817096282,2.20392850130969,-4.9005751286912,4.86459140111233,1.33864158909051,0.189116286593885,0.2447460120236,0.707466260222771,0.0755608858255972
26,2.45988955704623,2.46073546123641,2.2155393653452,-4.91380989562548,4.88353647087942,1.32375315744121,0.173796412352911,0.23269134859975,0.709675124339047,0.0627853194579039
27,2.4410381498453,2.46491776073484,2.19951813099764,-4.91463807048125,4.8835771717814,1.33137017517617,0.173252025467559,0.242554550957674,0.698610817827002,0.0912862718621027
28,2.41104637687171,2.45121884568812,2.21722114621428,-4.87688118919418,4.83327327489616,1.31536176179938,0.172518909619703,0.236138533342515,0.690118824017657,0.208067448454097
29,2.45665462193336,2.47405607172283,2.20543096942317,-4.9176118712685,4.89058920373043,1.36384066699956,0.172833748060222,0.230204066091503,0.658216840958005,0.0635618233773831
30,2.45832883858247,2.46565932791563,2.19893817085589,-4.90270648075218,4.86613348576786,1.36119198753032,0.181289999526359,0.246774460946572,0.631960006489841,0.0926587697635305
31,2.45860679219231,2.4676193366382,2.20556183591762,-4.92377483099814,4.89668992910671,1.33696477888566,0.170633904486196,0.226442082230857,0.750295228875633,0.131206570264784
32,2.43491951171949,2.45355403933747,2.20245335853713,-4.90099066802543,4.86466715237732,1.30122672921907,0.17649024184685,0.241536272896866,0.765918413838664,0.110381631252325
33,2.43177093922864,2.46920434547058,2.19961601156884,-4.90862433875422,4.87428046088158,1.3408771670642,0.181114973336386,0.240709623270356,0.728779631076688,0.0832035072488033
34,2.45714976020711,2.45875801371018,2.21248907015837,-4.92947195754409,4.91387896859803,1.34470000304318,0.172026626713286,0.240678873792255,0.723994250928378,0.131571294012379
35,2.43792627987553,2.45845641600168,2.19945376611029,-4.91026523782246,4.87785511393204,1.27123299542921,0.187058449093609,0.24833622982129,0.73800409508177,0.121959714988116
36,2.46294661947701,2.46099153823594,2.20277937812357,-4.91794413750657,4.89584823529536,1.29914259722575,0.180728883926052,0.246078234208428,0.699584289806348,0.039214465694928
37,2.44158948334631,2.46444746297318,2.18882724367669,-4.90992335686545,4.87755415382818,1.30830890394523,0.170247027012294,0.226411422995048,0.729327899327825,0.0543296571030317
38,2.42667422588417,2.44183676427742,2.19969564274333,-4.90793147619173,4.88351174464968,1.31304839455153,0.170236306961005,0.231607319345217,0.709806329464997,0.0526210896855503
39,2.45454912679817,2.45855989849404,2.20751916558502,-4.91091984074246,4.87901485324115,1.32635379993659,0.185842716590091,0.2506210567303,0.726833180355833,0.0619879002255533
40,2.45373208624916,2.44305317641751,2.21612382204215,-4.92396017505467,4.89557029600293,1.34778486581149,0.185763185953423,0.25613196141403,0.671336945370743,0.0915185665826437
41,2.44989682301886,2.4751938400395,2.20664393237805,-4.9187704468471,4.89069666739925,1.38769140341829,0.182482295184962,0.244323289487687,0.635741033029426,0.0863934409268421
42,2.45030299883945,2.46011340915541,2.20185954084125,-4.91791750927959,4.8836160335108,1.36855582107448,0.203289528082112,0.271399790676172,0.707223974427421,0.0614163522938673
43,2.45833681757963,2.45013189238986,2.20034130014521,-4.9149799392821,4.88645144211482,1.34641097703292,0.171415655237248,0.231249925500504,0.680598851072336,0.09692361309862
44,2.44372779018786,2.46214297055298,2.20060195320985,-4.90891433005483,4.8796649827207,1.35467533776895,0.181404966347718,0.248969893991656,0.666270204409143,0.0555847317706634
45,2.41697650610181,2.45448449560666,2.21813885633868,-4.90451402616278,4.87110127878691,1.34910129401746,0.182991924718587,0.244121054444777,0.616578424954221,0.102670648786345
46,2.43358560507147,2.46339462980055,2.20731230453142,-4.91209223387742,4.87703173223131,1.29957766895558,0.182833121787577,0.241925034314382,0.810946634054791,0.117292634815327
47,2.43737495392875,2.46607017248531,2.19214525387622,-4.91060971623158,4.87850649489218,1.35354390391834,0.159314290339636,0.218076617375543,0.67606013983683,0.0313480717526338
48,2.44457088072498,2.43923587771047,2.18328751936834,-4.90688226615138,4.86972275238078,1.31240105796244,0.166860942054795,0.223324484376222,0.748992701639298,0.0913954450345908
49,2.44589422691709,2.45847188083281,2.21710640745953,-4.89419791616989,4.85868025422083,1.30784041018214,0.182775469950503,0.251156223519693,0.69566087883828,0.136955989369261
50,2.45974213651616,2.45710243005303,2.20841349565296,-4.91448063370698,4.88570278654211,1.36350468545334,0.186317077551927,0.244921199830015,0.683634824953955,0.0728291110944657
51,2.43461461197884,2.4552795959132,2.20470877435008,-4.90815351114313,4.87189514535545,1.3511632525963,0.167587844881507,0.225407141782488,0.639587168811525,0.0765049132982805
52,2.45188812553189,2.45197154764658,2.19652894789922,-4.90077212681685,4.86776160896992,1.34077537780878,0.167054041176596,0.227802311659365,0.649680388829665,0.0712052462372733
53,2.45308310512863,2.47204826614966,2.21009196191762,-4.92252927876732,4.89019023886424,1.31816594947914,0.182362732768316,0.247320141293727,0.659545088732458,0.0939129625864561
54,2.45757296763724,2.45013930262084,2.20984980559863,-4.90469440294047,4.87045316363682,1.33666251940293,0.174637827807365,0.232674513653535,0.688133545298342,0.0423697450958056
55,2.44659858739726,2.46240136408794,2.20530923390522,-4.91682304712399,4.88452709878514,1.32613133123141,0.200640086380279,0.269035758269701,0.71466447808419,0.0861204918734056
56,2.4480291030169,2.45485113862726,2.19658820433013,-4.90712707377623,4.87795481574153,1.38460230044428,0.182195889070107,0.245719355911404,0.615317753957998,0.0273147050958001
57,2.45229199011139,2.44672967509469,2.21459462802572,-4.91657168456795,4.8881029114012,1.30667742335677,0.17271875781668,0.237057495645436,0.685226277037776,0.0462850445419402
58,2.44765717579324,2.46933320936209,2.21977801106338,-4.92421756923498,4.89817177497086,1.3248722691408,0.173649059048488,0.230904041085042,0.700295974586619,0.0976595636345004
59,2.44092821971226,2.4694421898736,2.20091597782886,-4.90967938340494,4.87373619206738,1.28996322407899,0.176074272305547,0.239829484063691,0.731256776613219,0.136995826853187
60,2.43132925744423,2.43858823213282,2.18637752987679,-4.88680499156828,4.84296184271963,1.35129039672516,0.180140820682051,0.251698486109087,0.700837361756637,0.165125098040126
61,2.43130884910882,2.43565240425219,2.20792923571316,-4.91401442585442,4.88083577362365,1.3010868538567,0.175326289757607,0.22924974532818,0.635030629226925,0.0349294925367495
62,2.44372497504779,2.45248444638951,2.1982028826347,-4.91456050851127,4.88485060825403,1.30361443806814,0.185511535258419,0.246108981993834,0.696519668294606,0.0550843776958141
63,2.43536178620853,2.45322038605252,2.19694728807076,-4.9106538325839,4.87602072310954,1.35896851865782,0.16953010685758,0.237826674139345,0.647995112312037,0.101569270636829
64,2.44308828109259,2.46425398370199,2.19846186941721,-4.91412708298105,4.88942018996352,1.29745872566365,0.173610508905967,0.233114796017554,0.663792332185647,0.0636072780694937
65,2.42923833215095,2.45334759006904,2.2141405233832,-4.91640667568423,4.88809976889614,1.29590213882186,0.183771381542345,0.242981880372239,0.687817113389312,0.0975972610460334
66,2.45880820200189,2.45614429061997,2.20226633426092,-4.92606254075744,4.9056570877259,1.33350927276324,0.181093290781023,0.248194260249523,0.66178902006199,0.0890646340223037
67,2.42862594875922,2.46421409763198,2.19959787030595,-4.91774688901306,4.88544280626434,1.338215785683,0.178017100804676,0.23383103206578,0.681553899348704,0.0337038367675915
68,2.42911254789916,2.46182381046854,2.20941239889802,-4.92552148924117,4.90144410937293,1.27056504966068,0.184983026250599,0.244789962885333,0.790199781365721,0.146759108111674
69,2.44601987107236,2.45332487331822,2.21085411120245,-4.91294788390557,4.88834977289577,1.30798432988587,0.177599115756012,0.232890556086364,0.746738937845489,0.105872092175961
70,2.41352950014623,2.45502541940227,2.19352256243778,-4.89122103903345,4.85394099398062,1.36550076954551,0.179038951634772,0.249900887639499,0.62144706126607,0.144187384250287
71,2.42584304455612,2.4436441425624,2.19518993018895,-4.89563956160192,4.86400240534666,1.30071989539189,0.169325257986611,0.230007893718595,0.76267570710773,0.122096940405793
72,2.42091148296946,2.43417550133165,2.18837943367975,-4.88869755986845,4.84778323930034,1.3305264247089,0.174401062772765,0.229866044938104,0.612316025730815,0.166606658538312
73,2.44761032641155,2.46605132737478,2.19530720973182,-4.91246701062533,4.88963858757942,1.28179218103292,0.190701412758257,0.2488418581386,0.763871882057327,0.0873178116039087
74,2.4414647010696,2.46468628323055,2.20345029505696,-4.91134627607931,4.87840242471712,1.3067749207362,0.182861946961484,0.260406310509279,0.695656068383291,0.0682607168599376
