sim,Rate,Rate_1,Rate_2,density,recip,jumpXTransTrip,se_density,se_recip,se_jumpXTransTrip,maxConv
1,2.45802482176577,2.46443373412066,2.22331680210169,-4.93118791207695,4.91744913081356,3.37926705764874,0.178675593972203,0.243653865118367,0.881796987620033,0.131385780326685
2,2.44380280201339,2.48468227877427,2.20337030567081,-4.93412487554393,4.91350841372229,3.35589997948817,0.184302075102346,0.248473448876801,0.908302391316655,0.107652394790988
3,2.46971324867891,2.46899642727796,2.22501796829567,-4.93937820478433,4.92845337572577,3.38171851982153,0.196493376167437,0.25641528456129,0.926795366192215,0.120770407545986
4,2.43578165165313,2.45404808337639,2.19390150092743,-4.90405016194359,4.8828082882103,3.31385057082579,0.184318498940653,0.251850913941459,0.903342862058655,0.0634833195113057
5,2.43034642552465,2.44908756484108,2.20844336859462,-4.90837152900793,4.88250924500004,3.36756824679878,0.180656809818839,0.235165796526009,0.881253664980102,0.135041032103279
6,2.42753884342252,2.46734370326142,2.21624977909464,-4.92518035475114,4.90961351792617,3.34140339798865,0.172469984812986,0.237784035890043,0.890351436191506,0.096526339445376
7,2.44243975148689,2.45929463116443,2.20535667351375,-4.91597836296176,4.89245543079764,3.33687360598473,0.196507140611116,0.26689313328702,0.954001427748788,0.0503459926340743
8,2.43668780943315,2.45338466526836,2.20727780902691,-4.90286619717108,4.8805492745776196,3.37610334110049,0.166275116881222,0.218149624752079,0.911611480102845,0.129801753328648
9,2.43493779255556,2.45443115623688,2.19291214332239,-4.91134262414282,4.88656486296103,3.35980796391397,0.182616890040265,0.251649784893159,0.953916949622595,0.100951757385524
10,2.44099698862059,2.46365979142944,2.19527671827429,-4.90843299138705,4.88550588397499,3.349269781036,0.183172776710331,0.248216963537302,0.898795886394387,0.059331846871895
11,2.4580615899126,2.45983457431833,2.21590426972559,-4.91211252773163,4.8921205610315,3.33409732133234,0.184593379451871,0.248172583185774,0.881507372250934,0.0336769497278196
12,2.42901730966222,2.45747731565323,2.21351863696317,-4.90805076084142,4.88721542021632,3.28465328831914,0.172510257295251,0.228285405481783,0.994665537438064,0.0919892027871135
13,2.4302405847984,2.46178494963616,2.20770423188233,-4.92406075107701,4.90645028079703,3.32955830171517,0.18326966648035,0.242440019097676,0.873522974449816,0.0293562463603166
14,2.43473101698299,2.46648042741682,2.20489893566243,-4.92678962704448,4.90608445019642,3.34883513702957,0.192411379847101,0.245870977556727,1.01381149843196,0.0595648458753611
15,2.43062273471786,2.4716940693994,2.20399934161341,-4.9254103982872,4.90472841283291,3.3147542349479,0.189621126276556,0.248721180404356,0.975172909387752,0.0793262455497205
16,2.44558285204919,2.46157025470846,2.21590313213813,-4.92872238663679,4.9140425751901,3.33891194168261,0.173298397400695,0.237294580633522,0.917574393898192,0.116462132312839
17,2.42791635797993,2.45500448242911,2.23448809060195,-4.91847067522653,4.89990020545033,3.33504453110133,0.182953945928561,0.256533664221655,0.926916716798904,0.0710482735050779
18,2.44118635898814,2.45357415644653,2.2071523245541,-4.90038244218002,4.87491256985415,3.33649159302329,0.180348456372608,0.245151962227165,0.970742053232385,0.143058548398553
19,2.42825443256101,2.47897242227779,2.21659007310578,-4.92463848925256,4.90268506498289,3.35108962211208,0.191422254499009,0.253870571209101,0.891314364374073,0.0991800916482552
20,2.4161580126469002,2.44887396860527,2.20601373839533,-4.90333777962908,4.87967496594552,3.39180450371654,0.176822283811304,0.239278403560859,0.894936851057223,0.0958140105085047
21,2.42650640279557,2.45368218817023,2.22702653009538,-4.91122427300148,4.88851638627492,3.3120706031747,0.18149148384062,0.230262510305395,0.876733800156882,0.0866751609734144
22,2.42744829227982,2.46075605012841,2.21162032520597,-4.91145625295101,4.89735511447714,3.3350755624595,0.190599385433261,0.263122226827437,0.897141333314069,0.0615020984420475
23,2.44048111024366,2.46145278628726,2.2155615760215,-4.91314153540855,4.89470861317196,3.37524128745078,0.184323906478735,0.248183886604589,0.937130879701503,0.0775767765033576
24,2.45064050074733,2.45150653351417,2.20169390499673,-4.91566194939898,4.89778076357435,3.27912797305091,0.160411715891339,0.217736160109849,0.992641298368801,0.104246079653436
25,2.46600402610275,2.43615126854424,2.2128477186268,-4.93089295508698,4.91593409670276,3.3513988165728,0.168755587968345,0.23141506163271,0.921033284456122,0.131203084192727
26,2.44635454449204,2.4656956701465,2.19511287169767,-4.90643964440359,4.89030092838957,3.36024283712123,0.179019042830165,0.236772369225567,0.888148128977478,0.0928758405820923
27,2.4220997246273,2.46511789291261,2.21157147009872,-4.91204165885835,4.89338910026375,3.33145027263401,0.178321001503969,0.230896631196581,0.898461584900326,0.0734443222057933
28,2.45118682789574,2.4703353810465,2.1962401335227,-4.92189686745582,4.90545553941051,3.36327043434938,0.178012772560285,0.241538099075304,0.998025161691016,0.040901548681131
29,2.43394738557016,2.46585531773763,2.20509183631883,-4.91846918191037,4.90233785624686,3.30501628465281,0.1769396004105,0.237479832428831,0.979759973300323,0.0543614587674903
30,2.43690458859697,2.49190136652388,2.19322176491342,-4.92475416602313,4.91377322595328,3.32417382840856,0.18753558969122,0.256574537379497,0.887175095575231,0.0886396887637464
31,2.43157613991594,2.46424468450378,2.19408999816652,-4.91683982787562,4.8910255856874,3.36055972738529,0.177408171741771,0.236110458133397,0.906556197483978,0.0624600845372256
32,2.4299834267969,2.46418275005679,2.20570988165662,-4.90691600004436,4.88519502066334,3.31085186378614,0.190619786180941,0.250374571719831,0.979143390142344,0.0541890296136726
33,2.43439624254125,2.44102791254338,2.22024229890101,-4.90200135946736,4.8761714944145496,3.35124316421123,0.170854219171615,0.229010688614813,0.977696842588419,0.11574984046888
