born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names
1955,NA,49702,53,343,290,FALSE,12,DEM,F,LA,01546,Mary L. Landrieu
1941,NA,14203,44,166,122,FALSE,31,DEM,M,MT,00066,Max S. Baucus
1946,NA,40501,9,112,103,FALSE,0,REP,M,FL,01769,Mel Martinez
1944,NA,49706,9,166,157,FALSE,12,REP,M,WY,01542,Michael B. Enzi
1951,NA,29345,24,272,248,FALSE,6,REP,M,ID,00250,Michael D. Crapo
1964,NA,40910,19,242,223,FALSE,0,DEM,M,CO,01965,Michael F. Bennet
1950,NA,40905,12,197,185,FALSE,0,REP,M,NE,01899,Mike Johanns
1942,NA,14921,10,88,78,FALSE,24,REP,M,KY,01395,Mitch McConnell
1947,NA,14661,66,389,323,FALSE,12,REP,F,ME,01085,Olympia J. Snowe
1934,NA,14503,16,207,191,FALSE,30,REP,M,UT,01351,Orrin G. Hatch
1936,NA,14852,9,193,184,FALSE,12,REP,M,KS,00968,Pat Roberts
1940,NA,14307,60,358,298,FALSE,30,DEM,M,VT,01383,Patrick J. Leahy
1950,NA,49308,47,361,314,FALSE,12,DEM,F,WA,01409,Patty Murray
1938,NA,40912,0,56,56,FALSE,0,DEM,M,MA,01972,Paul G. Kirk Jr.
1934,NA,14659,6,60,54,FALSE,18,REP,M,AL,01049,Richard C. Shelby
1932,NA,14506,24,197,173,FALSE,30,REP,M,IN,01387,Richard G. Lugar
1944,NA,15021,58,471,413,FALSE,12,DEM,M,IL,00326,Richard J. Durbin
1955,NA,29548,40,295,255,FALSE,0,REP,M,NC,00153,Richard M. Burr
1917,NA,1366,6,103,97,FALSE,48,DEM,M,WV,01299,Robert C. Byrd
1933,NA,49307,13,176,163,FALSE,12,REP,M,UT,01280,Robert F. Bennett
1954,NA,29373,57,433,376,FALSE,1,DEM,M,NJ,00791,Robert Menéndez
1960,NA,40703,102,561,459,FALSE,0,DEM,M,PA,01828,Robert P. Casey Jr.
1951,NA,29534,12,210,198,FALSE,0,REP,M,MS,01226,Roger F. Wicker
1937,NA,40903,12,313,301,FALSE,0,DEM,M,IL,01963,Roland Burris
1949,NA,14871,61,306,245,FALSE,9,DEM,M,OR,01247,Ron Wyden
