sim,Rate,Rate_1,Rate_2,density,recip,simXTransTrip,se_density,se_recip,se_simXTransTrip,maxConv
1,2.44142225396623,2.45519596424573,2.22009205715259,-4.91566060022107,4.88784685739487,10.1715408372978,0.177802868446232,0.242766824530108,3.84715739692486,0.0205495179249765
2,2.45019275214293,2.46012384246259,2.20460807625697,-4.92623017821693,4.89916286616401,10.0503852957832,0.197554192154335,0.249400785646029,4.15120609522676,0.0810494840041565
3,2.44796133478788,2.45557286166889,2.1850159890575,-4.91143353726472,4.87872057637164,10.1914721744356,0.192266588585696,0.258564847620071,3.94323806681626,0.0844223985594133
4,2.43771323527948,2.44478539504223,2.20931768666665,-4.90520133722895,4.87496063712439,9.91808767565561,0.183440153808234,0.244566448545721,3.67759634677305,0.0849597288364696
5,2.45001678001984,2.47455959953837,2.20149035438806,-4.91295941882853,4.88353285830744,9.96266921060177,0.192604728356911,0.242884533211681,4.11486348816896,0.0872828360599669
6,2.44299234527813,2.46132637066212,2.20354129726423,-4.90295569317302,4.87576309019984,10.1179590252258,0.180165179962126,0.24044385098241,3.70325352475273,0.0665645249268735
7,2.43731566531471,2.45010950551438,2.20809807623298,-4.91364475423758,4.88883272192379,9.91657736552298,0.187484735534114,0.259912605410547,3.7453500567788,0.0483737010755239
8,2.43759791724489,2.44005596774899,2.20677448239686,-4.89830645384853,4.86176126134049,9.97453477229273,0.182027746127584,0.242617814996,3.80009133553274,0.118893518370444
9,2.45712300385006,2.47141941053194,2.18213972120756,-4.92284870694775,4.89836933935511,9.87831957865764,0.184065860114609,0.247837151259276,4.02093716525885,0.0949356222003489
10,2.44574916167854,2.43215951192189,2.20875487414442,-4.91269925768349,4.88736046120381,10.0481127661632,0.169243177111326,0.236650596089491,3.69365005595908,0.0205214845280857
11,2.44426809228463,2.47613162623567,2.19614905616967,-4.92514988373576,4.89947686971087,10.0747441555436,0.187210337031797,0.250296792014071,3.7551708338538,0.0897075450119975
12,2.46520469519058,2.48074711872122,2.20094861326042,-4.92349415648029,4.89650591403587,10.136188278761,0.168692541383467,0.222956679300953,4.03525994510424,0.0482437523604166
13,2.4389009867633,2.46349605506038,2.21354742323193,-4.90972824011128,4.88296311493821,10.1856539267418,0.174568280326522,0.237490727815614,3.7191440426438,0.0574727630210059
14,2.43166816616554,2.45481336797402,2.18812906208919,-4.90751772857918,4.88065093720899,9.90430452415721,0.179316669716097,0.248558394079343,3.67122647265949,0.0462286121572569
15,2.44710101512952,2.44347603537389,2.19001973362976,-4.90369711343084,4.87285625455494,10.0353286501642,0.176096075723153,0.234701515908838,3.95767510868577,0.142193736501473
16,2.42684438873779,2.45096189624621,2.21296878258554,-4.91014841931654,4.88218505646794,10.1216814731554,0.186499284965589,0.237002791902561,3.84407284898355,0.0645162252290445
17,2.41262758800711,2.45089560181961,2.2155142617505,-4.91867067729757,4.88795492595952,10.4728538663602,0.175234835290941,0.237008568920316,3.4517682428146,0.0917119956709493
18,2.4210994258233,2.43520557035912,2.20139953704488,-4.89673736610934,4.86842159163053,9.88176376843938,0.182392861628535,0.237949405894513,3.89378331282213,0.140269659842436
19,2.46018127695238,2.46397031468295,2.19542278116354,-4.93165127308947,4.91175397188645,10.2280452859907,0.172575047152046,0.23694554182292,3.59215901861155,0.0879891552728166
20,2.42751315032656,2.45963913169244,2.20257030995213,-4.91262332510258,4.88523048852857,10.0506084020581,0.189146832577959,0.249868027811908,3.69866307752135,0.0850642700874003
21,2.44718266600047,2.48102066945819,2.20718117368179,-4.91369775975992,4.88367679923005,9.95106503064993,0.173601212159881,0.233554676119103,3.78315017415937,0.0486201645462914
22,2.44634684393786,2.4647383172935,2.21581685499546,-4.91376065865072,4.88070390053787,10.0542503451345,0.168748055995804,0.226420067012849,3.59801777310285,0.0692375658896311
23,2.45031134899237,2.46084555565539,2.20044243618896,-4.9128818199861,4.88470239884521,10.1742742970659,0.165664026241024,0.21629819533194,3.39619334446629,0.0626516326596247
24,2.44536279575883,2.44917870694815,2.20399512942608,-4.90455153796491,4.87520258498026,9.95865675426952,0.19342547219923,0.252172143746218,3.85963613556381,0.102118370819651
25,2.45465823998557,2.45177505101874,2.20405748632547,-4.91486326921267,4.88827424161005,10.2412555367329,0.177232266398686,0.236828559915632,3.82445860405771,0.101311222570698
26,2.44379632555646,2.45473788705533,2.21796382508212,-4.92703375857146,4.90154840762887,10.0343881523463,0.201097295229123,0.258332472131104,3.58670375692005,0.0689868677752304
27,2.42713414666413,2.46647027506121,2.20676167889501,-4.92207644831686,4.89780288818068,10.2052742432108,0.189608371087525,0.255223128134166,3.64397079166124,0.0861008428125134
28,2.43582315013806,2.46897666610081,2.2140879556826,-4.91797272460424,4.89280179537225,10.394378963066501,0.179569977282115,0.242120234502749,3.69881734424888,0.0936849954368497
29,2.43530757155556,2.46597971393612,2.22396388166459,-4.92921740506202,4.90048052440393,10.1317292162793,0.180538923727768,0.235138481805439,3.64830694611501,0.0853355645809721
30,2.45054219080301,2.45803596986618,2.21201301877126,-4.93233721612611,4.9128596245603,10.2130590780305,0.177876596565617,0.228668158219092,3.94431439545754,0.0440231007208713
31,2.43915702475074,2.45200968358093,2.20274137011782,-4.90853539045413,4.87739923678227,10.1529634471548,0.180460131699565,0.232426461737703,3.96223523406457,0.0616318632983128
32,2.45411250313377,2.44895903290679,2.2112690335577,-4.91483145056497,4.88345694707522,10.09143004673,0.174831238945652,0.245017058979921,3.88356266278996,0.0901098750062707
33,2.43294577607074,2.45775204902517,2.20185545047899,-4.9163961923476,4.88877727153561,9.99801491709024,0.193257608361995,0.272845144275897,3.82594365632386,0.0842439098657203
34,2.45725385850451,2.45111299351825,2.19304376732621,-4.91928774847888,4.88784890298641,10.1700981487612,0.17278746831714,0.236350554762928,3.58885554572836,0.0515938993108769
35,2.45480961300077,2.44063967009249,2.1973382780531,-4.91326676243598,4.88531022625958,10.2266515261808,0.181949862563835,0.2391191872802,3.4296411982341,0.0457026579998485
36,2.42833820477703,2.45965932097133,2.20491126368698,-4.93663424262143,4.91405168314419,9.98530804108209,0.170771684699587,0.228047086410978,3.38686197443333,0.0854864482786542
37,2.43250691878057,2.46263884595846,2.20828378240794,-4.92078208113575,4.89874113738806,10.117072751516,0.184045327049893,0.250463371779613,3.53323884942285,0.0567732216004977
38,2.44121206549811,2.44719288972503,2.22093796635722,-4.91043145794547,4.88036820648921,10.0784613469439,0.17697900780903,0.228573902227229,3.85628302663797,0.0194752786305825
39,2.43976714982611,2.48017562115336,2.19875574553233,-4.921751768921,4.89944005750712,10.1307178955223,0.203554584028891,0.253254815391547,3.8646986720064,0.0412029263929182
40,2.44356059064259,2.44991644227128,2.20763039587898,-4.92551121367786,4.90250900274101,10.0543365634905,0.183327710429108,0.239872343613842,3.84822368828608,0.0251828039600404
41,2.41880124376268,2.46394401714738,2.20727893535122,-4.91440913513312,4.8909277202377,10.1389177151615,0.165439434315682,0.223550217952677,3.89426813214541,0.0389450842224562
