source,party,sex,111,112,113,114
Ron Johnson,REP,M,NA,7,5,35
Ron Wyden,DEM,M,61,59,48,65
Roy Blunt,REP,M,NA,14,21,43
Russell D. Feingold,DEM,M,65,NA,NA,NA
Samuel D. Brownback,REP,M,29,NA,NA,NA
Saxby Chambliss,REP,M,11,3,5,NA
Scott Brown,REP,M,4,30,NA,NA
Sheldon Whitehouse,DEM,M,41,38,29,25
Shelley Moore Capito,REP,F,NA,NA,NA,13
Sherrod Brown,DEM,M,88,61,55,53
Steve Daines,REP,M,NA,NA,NA,22
Susan M. Collins,REP,F,41,34,34,39
Tammy Baldwin,DEM,F,NA,NA,17,36
Ted Cruz,REP,M,NA,NA,25,25
Thad Cochran,REP,M,7,7,10,8
Thom Tillis,REP,M,NA,NA,NA,5
Thomas A. Coburn,REP,M,9,20,28,NA
Thomas Harkin,DEM,M,42,30,43,NA
Thomas Richard Carper,DEM,M,27,34,19,27
Tim P. Johnson,DEM,M,17,15,13,NA
Tim Scott,REP,M,NA,NA,5,14
Timothy Kaine,DEM,M,NA,NA,16,20
Tom Cotton,REP,M,NA,NA,NA,11
Tom S. Udall,DEM,M,15,22,42,41
William Cowan,DEM,M,NA,NA,0,NA
