shortName,type,inter1,estimate,se,Waldpval,refits,overallConverge
recip,eval,NA,3.49680830095969,0.213968009176261,0.000149565215063818,1,0.0994130066111434
recip,eval,NA,4.80711495126644,0.235192085778518,0.0681965048314495,4,0.207600300287414
recip,eval,NA,5.17142807602654,0.228523042783288,0.250797655253991,5,0.19695424799973
recip,eval,NA,3.81346965709328,0.205129769345667,0.641561893596904,5,0.182547320768513
recip,eval,NA,4.86138028994899,0.240831503391241,0.108077238639134,4,0.143252221597062
recip,eval,NA,4.86128882755784,0.250271147743476,0.0885836239022632,4,0.106633882398514
recip,eval,NA,4.82446127393711,0.235048727047301,0.00410929699628848,5,0.141185625789323
transTrip,eval,NA,1.10027492293171,0.579821962833698,0.0577477107613988,3,0.188255219713446
transMedTrip,eval,NA,1.48748487993857,0.88206352236553,0.0917246830586435,4,0.116753641320438
transRecTrip,eval,NA,-12.5197052446827,1250017.78631922,0.999992008690093,5,0.278116834117352
cycle3,eval,NA,-8.65429150572363,1293175.37478039,0.99999466033323,4,0.181108887863606
transTies,eval,NA,1.1016946254285,0.576994674369393,0.0562147569039798,3,0.245811068029112
between,eval,NA,-0.181567260656969,0.225176717862596,0.420051271546981,5,0.252782221831547
balance,eval,NA,-0.199296291242858,0.0667214071770254,0.00281737346594024,4,0.028704861993443
nbrDist2,eval,NA,-0.102527290161874,0.147687957002986,0.487546983376012,5,0.107063639902276
nbrDist2twice,eval,NA,-8.64590715038571,507022.838178685,0.999986394230576,4,0.24672640453771
denseTriads,eval,,-6.23813163907115,31.6069612585582,0.843541329356783,1,NA
gwespFF,eval,,3.92339654523333,2.08429615694235,0.0597870989420779,5,0.0875900056836057
gwespBB,eval,,-6.04971191669292,18.2794754740735,0.740677314992388,5,0.292373813508479
gwespFB,eval,,4.53000887640104,2.26922914151497,0.0459038312595308,3,0.182771877406309
gwespBF,eval,,2.96067549492641,1.88940409806805,0.11711725578824,4,0.177592517267982
gwespRR,eval,,-13.6199151761481,0.146011764793622,0,5,0.292405188640857
inPop,eval,,0.0391688383374069,0.0995203680753742,0.693894029382156,5,0.651832609257539
inPopSqrt,eval,,-0.411887946611411,0.315107063114932,0.191166353690191,5,1.9311203217768
outPop,eval,,-0.0910414137077914,0.154323268108809,0.555231115096709,5,0.371364511531593
outPopSqrt,eval,,-0.0904680298341364,0.212346236016524,0.670078563969853,5,0.669326734792921
inAct,eval,,-0.16458894492702,0.212603524351703,0.438836734228077,5,0.522677780860792
inActSqrt,eval,,0.334542409479688,0.348504609738618,0.337087009847046,5,1.46198560499462
outAct,eval,,0.353407964757489,0.0551162133084272,1.43574929722945e-10,5,0.412991126334221
outActSqrt,eval,,0.483451289154528,0.329580119695768,0.14241134116023,5,3.79382055102621
outTrunc,eval,,-1.6593505917426,0.0891619054491459,0,2,NA
outInv,eval,,4.97132616596808,0.709949219859271,2.5166535522203e-12,5,0.860049384126577
outSqInv,eval,,6.71135211730079,1.00139738474891,2.05604422376382e-11,5,0.743060288335263
inIsDegree,eval,,-2.82597375417669,0.491184685407155,8.74748540269366e-09,4,0.209249632166592
isolateNet,eval,,45.1315554378861,675.8885639971,0.946761890200209,5,4.90851603757663
isolatePop,eval,,-1.70659580721904,0.698350150655001,0.0145353434727852,4,0.197090381576033
outOutAss,eval,,0.175112860682645,0.148387142288222,0.23795724453098,5,0.54338168361792
outInAss,eval,,0.357422810537617,0.140698311874346,0.011074191378161,5,1.6073418938893
inOutAss,eval,,-0.0317049140441932,0.19621866475404,0.871637000573499,4,0.0853606858584436
inInAss,eval,,0.119444318462733,0.194863150130929,0.539899388703422,5,0.840737580128326
inStructEq,eval,,-0.00832494095020462,0.0827455210579394,0.919860882483669,5,0.292616447480977
altX,eval,sex,-0.0447453756929569,0.185491386778587,0.80937983359362,3,0.221347213590443
egoX,eval,sex,-0.263800311399457,0.263598904184853,0.316940885450972,3,0.229592000652221
simX,eval,sex,0.0597974823421957,0.159898043323224,0.708424723234057,4,0.195017826205312
simRecipX,eval,sex,-0.0992287284944115,0.279019228763267,0.722114666832688,4,0.202127346890019
simXTransTrip,eval,sex,-2.27645113908648,1.2876947088614,0.0770859772679496,4,0.203395591715435
sameX,eval,sex,0.0191016039662565,0.157782089052087,0.903640980078146,5,0.43504160405314
sameXRecip,eval,sex,0.0818288454664768,0.275941627581542,0.766814638302059,5,0.747402036613575
sameXTransTrip,eval,sex,0.928395916445349,0.827846228427079,0.262092373407418,4,0.158093335837634
jumpXTransTrip,eval,sex,3.33456613686701,0.893310862693336,0.000189350030009861,4,0.168850442815553
egoXaltX,eval,sex,0.556299855727456,0.406458462369938,0.17110833638983,5,0.135659183403282
egoXaltXRecip,eval,sex,1.15921601319452,0.772712700360427,0.133565143519152,3,0.172741405097787
higher,eval,sex,-0.376961669135922,0.484186440617954,0.436246892040769,4,0.235402526442749
IndTies,eval,sex,0.46921034451746,0.491559615208586,0.339813429286294,3,0.247836596685772
altDist2,eval,sex,-0.0905037216344707,0.395942803622225,0.819197107014052,4,0.224962195195422
simDist2,eval,sex,0.803907835948259,0.664547433245244,0.2263912538467,4,0.156605594457458
altX,eval,party,0.184822115228677,0.0732392543565327,0.0116180170405671,4,0.130468910865963
altSqX,eval,party,-0.968731705578241,0.339243561648052,0.00429604619988144,5,1.90988497385821
egoX,eval,party,-0.0277036738645931,0.0981810034647896,0.777813628222852,3,0.1500794999881
simX,eval,party,0.423886836484191,0.144249045158401,0.00329723406115934,4,0.0717121306796935
simRecipX,eval,party,0.633494410422857,0.26906377111271,0.018550655830044,4,0.245550284804299
simXTransTrip,eval,party,2.47401569445321,1.17089306090399,0.034606714414792,3,0.236120764353662
sameX,eval,party,0.363347174557093,0.135734220599096,0.00743064180482744,4,0.195636707222512
sameXRecip,eval,party,0.635801596778391,0.257026423790743,0.013372873036844,5,0.260645779023896
sameXTransTrip,eval,party,1.30643810707962,0.705846606386209,0.0641866677068201,4,0.218258999186852
jumpXTransTrip,eval,party,-5.88428396096087,0.111130216244194,0,4,0.182147163911789
egoXaltX,eval,party,0.213809301059056,0.0713253312537117,0.00272058396447117,4,0.151165528920795
egoXaltXRecip,eval,party,0.297809597593698,0.132170170024506,0.0242447435609134,4,0.159512627183162
higher,eval,party,-1.81326268112782,0.456385633456271,7.09452576226344e-05,4,0.16175008821983
IndTies,eval,party,0.58947658252393,0.145083381046101,4.84420150946852e-05,5,0.11494778494762
altDist2,eval,party,0.360560654188712,0.147741818536691,0.0146678403298104,4,0.222231325004165
simDist2,eval,party,3.4996370272075,2.18523682739281,0.109268220397697,5,0.0939289187786507
altX,eval,bills,-0.00737576687800648,0.0034698379885073,0.0335298734125964,3,0.213464884739695
altSqX,eval,bills,-0.000138932871825292,9.63054480464781e-05,0.149125478954363,3,0.249167558094665
egoX,eval,bills,0.00746714276095894,0.00463611850569638,0.107257041171302,3,0.219051379883074
