ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,A2KVYRNL2CK95F,1508519463.6884055,1508519473.0517879,9952,3,Certain,Most simple overall structure,turk22,1,3,NA,simttb,1,NA,3,file23c57b180f3.svg,turk22,9,simttb_gof_9_2.csv,0,M-1,data,TRUE,10.090829369002902,0,10.090829369002902
,AD1WGUMVD6KED,1508519518.4334965,1508519577.1246812,9941,3,Certain,Most complicated overall structure,turk22,1,3,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,9,jtts_gof_9_1.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A2LQ33BQ8G259D,1508519538.0432992,1508519578.908998,9943,6,Neutral,"Other, Largest cluster",turk22,1,6,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,9,jtts_gof_9_3.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A3696JXTRKL2FI,1508519585.837505,1508519596.7166119,9951,4,Neutral,Most complicated overall structure,turk22,1,4,NA,simttb,1,NA,2,file23c5766b3e7.svg,turk22,9,simttb_gof_9_1.csv,0,M-1,data,FALSE,10.090829369002902,0,10.090829369002902
,A2SBISQJE2ZPJQ,1508519587.9818888,1508519625.410163,9941,3,Neutral,Most simple overall structure,turk22,1,3,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,9,jtts_gof_9_1.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A1T3ROSW2LC4FG,1508519600.3399448,1508519681.434959,9931,"4,2",Uncertain,Most complicated overall structure,turk22,0.5,4,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,FALSE,-3.4498956944706896,0,-3.4498956944706896
,A1T3ROSW2LC4FG,1508519600.3399448,1508519681.434959,9931,"4,2",Uncertain,Most complicated overall structure,turk22,0.5,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A6NN7XDLH3RON,1508519866.5970886,1508519876.7901003,9972,5,Neutral,Most complicated overall structure,turk22,1,5,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,FALSE,1,0,1
,A2HM35CWB7IIFM,1508519861.943902,1508519891.8408353,9953,3,Very Uncertain,"Other, biggest variation",turk22,1,3,NA,simttb,1,NA,3,file23c173203a2.svg,turk22,9,simttb_gof_9_3.csv,0,M-1,data,TRUE,10.090829369002902,0,10.090829369002902
,A2VE5IV9OD2SK1,1508519885.5984647,1508519914.4844556,9972,4,Certain,"Other, Fewer dots; tree shape is unique ",turk22,1,4,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,TRUE,1,0,1
,A1UUNYHX3M8O3O,1508519925.664625,1508519938.322871,9953,3,Very Certain,Most simple overall structure,turk22,1,3,NA,simttb,1,NA,3,file23c173203a2.svg,turk22,9,simttb_gof_9_3.csv,0,M-1,data,TRUE,10.090829369002902,0,10.090829369002902
,A1TK0ZMZ571GG0,1508519968.6325545,1508519977.3670197,9972,3,Neutral,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,FALSE,1,0,1
,A28PS7TGEQCFT4,1508519991.7004879,1508520011.0554547,9972,5,Certain,Most complicated overall structure,turk22,1,5,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,FALSE,1,0,1
,A3QI1RV4HQ9MOC,1508520000.1421814,1508520017.2765906,9971,3,Neutral,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,2,file23c5ffb4a66.svg,turk22,9,bigmod_gof_9_1.csv,0,M-1,data,FALSE,1,0,1
,A2MFMT03E21ZIT,1508519995.9537408,1508520022.36752,9972,2,Very Certain,Most simple overall structure,turk22,1,2,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,FALSE,1,0,1
,A3DZ46U9XRLVBI,1508520009.4664369,1508520030.5008059,9941,3,Certain,Most complicated overall structure,turk22,1,3,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,9,jtts_gof_9_1.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
, A1TSPXCPRHR73P,1508520019.4393466,1508520038.7708745,9971,2,Certain,Most complicated overall structure,turk22,1,2,NA,bigmod,1,NA,2,file23c5ffb4a66.svg,turk22,9,bigmod_gof_9_1.csv,0,M-1,data,TRUE,1,0,1
,A9KSSJXDB6GPE,1508520084.0309813,1508520130.0443387,9971,2,Certain,Most complicated overall structure,turk22,1,2,NA,bigmod,1,NA,2,file23c5ffb4a66.svg,turk22,9,bigmod_gof_9_1.csv,0,M-1,data,TRUE,1,0,1
,A2MFMT03E21ZIT,1508520167.088867,1508520180.131034,9932,6,Very Certain,Most simple overall structure,turk22,1,6,NA,jttp,1,NA,4,file23c10682062.svg,turk22,9,jttp_gof_9_2.csv,0,M-1,data,FALSE,-3.4498956944706896,0,-3.4498956944706896
,A2SBISQJE2ZPJQ,1508520166.9079225,1508520181.9933388,9972,3,Certain,Most simple overall structure,turk22,1,3,NA,bigmod,1,NA,4,file23c68da9ce8.svg,turk22,9,bigmod_gof_9_2.csv,0,M-1,data,FALSE,1,0,1
,A36SM7QM8OK3H6,1508520198.807137,1508520208.8038268,9973,6,Certain,Most complicated overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,ATHS9GUME1XCA,1508520252.5598044,1508520264.6636946,9943,6,Certain,Most simple overall structure,turk22,1,6,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,9,jtts_gof_9_3.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A8F6JFG0WSELT,1508520430.7265441,1508520444.5193527,9931,2,Very Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A3UNS38BYD3OQR,1508520430.4248128,1508520445.51279,9931,1,Certain,Most simple overall structure,turk22,1,1,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,FALSE,-3.4498956944706896,0,-3.4498956944706896
,A2TBXASXZIRNNW,1508520456.9275954,1508520465.18551,9931,2,Very Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A19CB2C4GY4C60,1508520412.845649,1508520474.426754,9931,2,Very Certain,"Other, structure is completely different",turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
