pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model
3143,NA,jtts,1,NA,1,file23cd70eafe.svg,turk22,NA,jtts_pos_hard_3.csv,0,one,jtts
2141,NA,jtts,1.5,NA,5,file8c20319c2b02.svg,turk22,NA,jtts_pos_med_1.csv,0,one,jtts
2142,NA,jtts,1.5,NA,1,file23c60a200f7.svg,turk22,NA,jtts_pos_med_2.csv,0,one,jtts
2143,NA,jtts,1.5,NA,2,file23c4394d33a.svg,turk22,NA,jtts_pos_med_3.csv,0,one,jtts
1141,NA,jtts,2,NA,5,file8c2040f9a41.svg,turk22,NA,jtts_pos_easy_1.csv,0,one,jtts
1142,NA,jtts,2,NA,3,file23c6f7d6bfe.svg,turk22,NA,jtts_pos_easy_2.csv,0,one,jtts
1143,NA,jtts,2,NA,2,file23c455c268e.svg,turk22,NA,jtts_pos_easy_3.csv,0,one,jtts
9941,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,NA,jtts_gof_9_1.csv,0,M-1,data
9942,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,NA,jtts_gof_9_2.csv,0,M-1,data
9943,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,NA,jtts_gof_9_3.csv,0,M-1,data
1241,NA,jtts,2.5,NA,5,file8c202b7920fd.svg,turk22,NA,jtts_neg_easy_1.csv,0,M-1,basic
1242,NA,jtts,2.5,NA,4,file8c2083ca5df.svg,turk22,NA,jtts_neg_easy_2.csv,0,M-1,basic
1243,NA,jtts,2.5,NA,1,file8c2022bcc4a.svg,turk22,NA,jtts_neg_easy_3.csv,0,M-1,basic
2241,NA,jtts,2,NA,2,file8c207971f689.svg,turk22,NA,jtts_neg_med_1.csv,0,M-1,basic
2242,NA,jtts,2,NA,1,file8c2054d148e1.svg,turk22,NA,jtts_neg_med_2.csv,0,M-1,basic
2243,NA,jtts,2,NA,5,file8c2061bc4df0.svg,turk22,NA,jtts_neg_med_3.csv,0,M-1,basic
3241,NA,jtts,1.5,NA,3,file8c201e13e6d9.svg,turk22,NA,jtts_neg_hard_1.csv,0,M-1,basic
3242,NA,jtts,1.5,NA,4,file8c204d4e9b34.svg,turk22,NA,jtts_neg_hard_2.csv,0,M-1,basic
3243,NA,jtts,1.5,NA,3,file8c20564dd5c.svg,turk22,NA,jtts_neg_hard_3.csv,0,M-1,basic
1221,NA,recip,0,NA,4,file23c2b526619.svg,turk22,NA,recip_neg_easy_1.csv,0,one,recip
1222,NA,recip,0,NA,2,file23c65d988ff.svg,turk22,NA,recip_neg_easy_2.csv,0,one,recip
1223,NA,recip,0,NA,5,file23c391e0f33.svg,turk22,NA,recip_neg_easy_3.csv,0,one,recip
2221,NA,recip,1.00E-04,NA,1,file8c2068ce155c.svg,turk22,NA,recip_neg_med_1.csv,0,one,recip
2222,NA,recip,1.00E-04,NA,2,file8c207ced7025.svg,turk22,NA,recip_neg_med_2.csv,0,one,recip
2223,NA,recip,1.00E-04,NA,4,file8c205ab6c83.svg,turk22,NA,recip_neg_med_3.csv,0,one,recip
3221,NA,recip,0.01,NA,4,file23c2ee64b30.svg,turk22,NA,recip_neg_hard_1.csv,0,one,recip
3222,NA,recip,0.01,NA,6,file23c1bc1460d.svg,turk22,NA,recip_neg_hard_2.csv,0,one,recip
3223,NA,recip,0.01,NA,2,file23c22e9efd0.svg,turk22,NA,recip_neg_hard_3.csv,0,one,recip
3121,NA,recip,1.3,NA,1,file23c5ce5b793.svg,turk22,NA,recip_pos_hard_1.csv,0,one,recip
3122,NA,recip,1.3,NA,6,file23c45d57ef6.svg,turk22,NA,recip_pos_hard_2.csv,0,one,recip
3123,NA,recip,1.3,NA,5,file23c16efe06c.svg,turk22,NA,recip_pos_hard_3.csv,0,one,recip
2121,NA,recip,1.4,NA,5,file23c30c104ca.svg,turk22,NA,recip_pos_med_1.csv,0,one,recip
2122,NA,recip,1.4,NA,4,file23c4912ace2.svg,turk22,NA,recip_pos_med_2.csv,0,one,recip
2123,NA,recip,1.4,NA,2,file23c6e78c6c4.svg,turk22,NA,recip_pos_med_3.csv,0,one,recip
1121,NA,recip,1.5,NA,4,file23c7d759ff4.svg,turk22,NA,recip_pos_easy_1.csv,0,one,recip
1122,NA,recip,1.5,NA,6,file23c31da6ec3.svg,turk22,NA,recip_pos_easy_2.csv,0,one,recip
1123,NA,recip,1.5,NA,5,file23c7fc3cdcb.svg,turk22,NA,recip_pos_easy_3.csv,0,one,recip
3161,NA,samettp,2.5,NA,3,file23c52d808d3.svg,turk22,NA,samettp_pos_hard_1.csv,0,one,samettp
3162,NA,samettp,2.5,NA,3,file23c690967f9.svg,turk22,NA,samettp_pos_hard_2.csv,0,one,samettp
3163,NA,samettp,2.5,NA,6,file23c49a48f3f.svg,turk22,NA,samettp_pos_hard_3.csv,0,one,samettp
2161,NA,samettp,3,NA,2,file23c7b082ef0.svg,turk22,NA,samettp_pos_med_1.csv,0,one,samettp
2162,NA,samettp,3,NA,6,file23c59a8ade8.svg,turk22,NA,samettp_pos_med_2.csv,0,one,samettp
2163,NA,samettp,3,NA,1,file23c4bfaa7e8.svg,turk22,NA,samettp_pos_med_3.csv,0,one,samettp
1161,NA,samettp,4,NA,1,file23c1bff0503.svg,turk22,NA,samettp_pos_easy_1.csv,0,one,samettp
1162,NA,samettp,4,NA,2,file23c52091e09.svg,turk22,NA,samettp_pos_easy_2.csv,0,one,samettp
1163,NA,samettp,4,NA,1,file23c4ee483c6.svg,turk22,NA,samettp_pos_easy_3.csv,0,one,samettp
1261,NA,samettp,4,NA,1,file23c6c60c781.svg,turk22,NA,samettp_neg_easy_1.csv,0,M-1,basic
1262,NA,samettp,4,NA,5,file23c4b24ecb7.svg,turk22,NA,samettp_neg_easy_2.csv,0,M-1,basic
1263,NA,samettp,4,NA,6,file23c5016ea4.svg,turk22,NA,samettp_neg_easy_3.csv,0,M-1,basic
2261,NA,samettp,3,NA,3,file23c3a25b1da.svg,turk22,NA,samettp_neg_med_1.csv,0,M-1,basic
2262,NA,samettp,3,NA,3,file23cc52b92f.svg,turk22,NA,samettp_neg_med_2.csv,0,M-1,basic
2263,NA,samettp,3,NA,3,file23c227fc5.svg,turk22,NA,samettp_neg_med_3.csv,0,M-1,basic
3261,NA,samettp,2.5,NA,6,file23c47ab918a.svg,turk22,NA,samettp_neg_hard_1.csv,0,M-1,basic
3262,NA,samettp,2.5,NA,5,file23c18697602.svg,turk22,NA,samettp_neg_hard_2.csv,0,M-1,basic
