ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,A1EQ2HDHF2WWSY,1508518631.071768,1508518647.9144354,3241,3,Uncertain,Most simple overall structure,turk22,1,3,NA,jtts,1.5,NA,3,file8c201e13e6d9.svg,turk22,3,jtts_neg_hard_1.csv,0,M-1,basic,TRUE,5.0104529415283485,1,3.340301961018899
,A1UTBDKOQ2MKUD,1508518643.3253217,1508518656.5073972,1252,4,Very Certain,Most complicated overall structure,turk22,1,4,NA,simttb,-3,NA,4,file23c8b61d5f.svg,turk22,1,simttb_neg_easy_2.csv,0,one,simttb,TRUE,-30.272488107008705,-1,10.090829369002902
,A256FHXGSY0E5D,1508518643.5110207,1508518657.6980329,3231,5,Certain,Most simple overall structure,turk22,1,5,NA,jttp,-1.5,NA,1,file23c1f2f72ca.svg,turk22,3,jttp_neg_hard_1.csv,0,one,jttp,FALSE,5.174843541706034,1,-3.4498956944706896
,A2LT6KC1X51FVW,1508518650.2681634,1508518659.8267782,2123,2,Certain,Most complicated overall structure,turk22,1,2,NA,recip,1.4,NA,2,file23c6e78c6c4.svg,turk22,2,recip_pos_med_3.csv,0,one,recip,TRUE,6.850352851800547,1,4.893109179857534
,AQNIO8YEHWUBR,1508518649.3924475,1508518660.1268303,1253,5,Certain,Most complicated overall structure,turk22,1,5,NA,simttb,-3,NA,5,file23c456b1d3e.svg,turk22,1,simttb_neg_easy_3.csv,0,one,simttb,TRUE,-30.272488107008705,-1,10.090829369002902
,A1EQ2HDHF2WWSY,1508518648.0038762,1508518662.5222063,1152,6,Very Uncertain,Most simple overall structure,turk22,1,6,NA,simttb,2,NA,3,file23c7031611d.svg,turk22,1,simttb_pos_easy_2.csv,0,one,simttb,FALSE,20.181658738005805,1,10.090829369002902
,A154X03NKVZZL1,1508518652.4196167,1508518663.1385386,2123,1,Neutral,Most simple overall structure,turk22,1,1,NA,recip,1.4,NA,2,file23c6e78c6c4.svg,turk22,2,recip_pos_med_3.csv,0,one,recip,FALSE,6.850352851800547,1,4.893109179857534
,A256FHXGSY0E5D,1508518657.7820027,1508518664.3355196,2251,6,Very Certain,Most complicated overall structure,turk22,1,6,NA,simttb,-2,NA,6,file23cd68cb08.svg,turk22,2,simttb_neg_med_1.csv,0,one,simttb,TRUE,-20.181658738005805,-1,10.090829369002902
,A1UTBDKOQ2MKUD,1508518662.9138222,1508518667.2448392,2112,5,Certain,Most complicated overall structure,turk22,1,5,NA,dens,1.35,NA,1,file23c15883e72.svg,turk22,2,dens_pos_med_2.csv,0,one,dens,FALSE,-6.618749365913125,-1,-4.902777308083796
,A37S96RT1P1IT2,1508518651.063097,1508518669.478744,2243,5,Neutral,Most simple overall structure,turk22,1,5,NA,jtts,2,NA,5,file8c2061bc4df0.svg,turk22,2,jtts_neg_med_3.csv,0,M-1,basic,TRUE,6.680603922037798,1,3.340301961018899
