"","shortName","type","inter1","estimate","se","Waldpval"
"1","recip","eval","","3.59041981777113","0.8805215639193","4.55018306330102e-05"
"2","recip","eval","","4.06040227502952","0.820168261760475","7.39492148627008e-07"
"3","recip","eval","","3.84929938364475","1.05596564093662","0.00026709202332853"
"4","recip","eval","","3.30559355110077","0.855883716086729","0.000112370801498507"
"5","recip","eval","","3.48609920936319","0.857171237154967","4.76261068049766e-05"
"6","recip","eval","","4.17716821525385","0.989454378541016","2.42479006220542e-05"
"7","recip","eval","","5.08887068391859",NA,NA
"8","recip","eval","","3.66027934083425",NA,NA
"9","recip","endow","","0.537324148139669","3.89204366534074","0.890195313293789"
"10","recip","creation","","-0.0989506396494449","3.93995628685886","0.979963511519837"
"11","transTrip","eval","","0.805199403612736","0.277465146560925","0.00370807530964712"
"12","transTrip","endow","","-0.128292358861706","1.85847000743944","0.944964808667868"
"13","transTrip","creation","","1.43114593015805","0.582647301528384","0.0140383047419708"
"14","transTrip1","eval","","1.57017112601852","0.551560924422588","0.0044164244467072"
"15","transTrip1","endow","","-0.30158131101323","3.7707129663888","0.936253228509622"
"16","transTrip1","creation","","2.86652812981304","1.09244383922683","0.00869141801856799"
"17","transTrip2","eval","","1.68408160818279","0.586395476482477","0.00407984669173811"
"18","transTrip2","endow","","-0.0636848536936252","3.31836277081373","0.984688219475916"
"19","transTrip2","creation","","2.94745964272548","1.1559046649842","0.0107748918739368"
"20","transMedTrip","eval","","1.57586748428447","0.577876218967686","0.00639133624837485"
"21","transMedTrip","endow","","3.94112101172905","2.9959638518101","0.188349701447468"
"22","transMedTrip","creation","","1.52893830190282","1.08381184061712","0.158331746902186"
"23","transRecTrip","eval","","0.839521791276615","0.446332194343627","0.0599807780741679"
"24","transRecTrip","endow","","0.00452970227805953","6.14516682996319","0.999411866384524"
"25","transRecTrip","creation","","1.64166279668043","1.19568190255083","0.169754545148671"
"26","transRecTrip2","eval","","1.85696148661585","0.83497597700837","0.0261504657163147"
"27","transRecTrip2","endow","","1.99289382840411","3.13563242332309","0.52506090139623"
"28","transRecTrip2","creation","","3.73267654379424","1.68608110735103","0.0268413079074241"
"29","cycle3","eval","","1.09275353622227","0.582413979659966","0.0606211225886695"
"30","cycle3","endow","","3.4938832435268","1.85264031020348","0.0593092403447805"
"31","cycle3","creation","","0.816157692892848","1.44280861776876","0.571616180674589"
"32","transTies","eval","","1.29574996157135","0.438254374521004","0.00311035059353237"
"33","transTies","endow","","0.952938616388775","1.43189327076003","0.505724650711752"
"34","transTies","creation","","3.07081995582183","2.08831131774324","0.141431807664779"
"35","between","eval","","-4.73882406005813","7.60259115905325","0.533076250445865"
"36","balance","eval","","0.630011023282924","0.309193090735538","0.041590216974532"
"37","balance","endow","","6.56357068254024","7.11400551709297","0.356201831619847"
"38","balance","creation","","0.404432471962121","0.385326523473809","0.293909514171474"
"39","nbrDist2","eval","","-1.78051057970544","0.948144378744784","0.0603962533020245"
"40","nbrDist2twice","eval","","-8.43135129080896","0.300548381012657","0"
"41","denseTriads","eval","","0.876362867611901","0.380001398959273","0.0210989244094569"
"42","gwespFF","eval","","1.86274883698687","0.62179248861715","0.00273750586751065"
"43","gwespFF","endow","","0.847725493588197","2.69694115216291","0.753271546987158"
"44","gwespFF","creation","","3.82087786381357","1.31999146418761","0.0037961395777677"
"45","gwespBB","eval","","1.42062569968829","0.64139563016148","0.0267670876999668"
"46","gwespBB","endow","","4.03724763205898","1.80940772992565","0.0256643309004227"
"47","gwespBB","creation","","1.12056180035318","1.73844768935523","0.519201938814041"
"48","gwespFB","eval","","1.98553886979291","0.674981482241552","0.00326500558979415"
"49","gwespFB","endow","","3.27045895813989","1.81990877938734","0.0723283901167641"
"50","gwespFB","creation","","4.19806258074122","1.28242538766885","0.00106211766715869"
"51","gwespBF","eval","","1.94025441478274","0.628761120799304","0.00202979970087547"
"52","gwespBF","endow","","4.32287956589053","2.94367984241411","0.141960552505132"
"53","gwespBF","creation","","1.93307821992035","1.42591733061836","0.175203101031409"
"54","gwespRR","eval","","1.42462731551848","0.867042238633013","0.100364579921193"
"55","gwespRR","endow","","85.1421461543942","77.8528402404189","0.274117599137658"
"56","gwespRR","creation","","1.20432464299126","2.44627235970465","0.622500125912169"
"57","sharedPop","eval","","0.613080916329806","0.566144062356123","0.278850058777966"
"58","sharedPop","endow","","-120.471815183729","31.2703916031015","0.000116877788507441"
"59","sharedPop","creation","","1.25770208266762","1.13836123688458","0.269230807828641"
"60","inPop","eval","","0.250693184326592","0.292255381850452","0.391009490211116"
"61","inPop","endow","","-0.60198155022523","2.18779763968711","0.783197828240614"
"62","inPop","creation","","0.565797654726682","0.397652308194856","0.154781052027698"
"63","inPopSqrt","eval","","0.93285636868171","0.848656918186944","0.271674320942264"
"64","inPopSqrt","endow","","-1.98452333085248","5.76813440718046","0.730809115974502"
"65","inPopSqrt","creation","","1.95387506790009","1.51857680493223","0.198216716155416"
"66","outPop","eval","","-0.0885064793235318","0.451648955418162","0.844639134727068"
"67","outPop","endow","","1.66227301409315","1.29446273841137","0.199092533010325"
"68","outPop","creation","","0.341350477658745","0.582416585099531","0.557812796186668"
"69","outPopSqrt","eval","","0.61815619815156","0.824252186623014","0.453278775451086"
"70","reciPop","eval","","0.192260862826212","0.441746892562765","0.663396535896909"
"71","reciPop","endow","","1.53025541581002","2.3394155836151","0.513035352411646"
"72","reciPop","creation","","0.497840806313491","0.547320659488006","0.363035489624265"
"73","reciPopSqrt","eval","","1.057928984697","0.872758924354349","0.225448716200936"
"74","reciPopSqrt","endow","","3.13368263760578","2.32135004820487","0.177035318990442"
"75","reciPopSqrt","creation","","2.00767434502187","1.88516908779085","0.286883307289994"
"76","inActSqrt","eval","","-0.73084175493553","1.13654393482899","0.520198976995133"
"77","outAct","eval","","0.132936912970124","0.181532053086506","0.463982149750436"
"78","outActSqrt","eval","","0.416819402249852","0.544714273911537","0.444148044091808"
"79","reciAct","eval","","-0.360508787031105","0.439202084350421","0.411745001431377"
"80","inAct","eval","","-0.114772564765322","0.517865330767661","0.824604825777954"
"81","outTrunc","eval","","-0.849667424621189","0.852072459738001","0.318678394776505"
"82","outTrunc2","eval","","-1.01810048905155","11.2182662516987","0.927688206776099"
"83","outInv","eval","","1.75705063913242","2.23031545311154","0.430811569805383"
"84","outSqInv","eval","","2.42827582960026","3.10900380167244","0.43477528015802"
"85","inIsDegree","eval","","5.98696760442395","111.089297014974","0.957020183387452"
"86","isolateNet","eval","","126.690014117675","161.009961306309","0.431372130493489"
"87","antiIso","eval","","-82.8921738032295","112.95329736277","0.463032627128037"
"88","antiIso","endow","","1.24042666838805e-13",NA,NA
"89","antiIso","creation","","-79.8970629607974","114.289412962352","0.484504113602838"
"90","antiInIso","eval","","-1.34515918299526","0.751589247543541","0.0734936124496617"
"91","antiInIso","endow","","-1.49697370489766e-12",NA,NA
"92","antiInIso","creation","","-2.92139739026178","2.64734354162257","0.269801272531321"
"93","antiInIso2","eval","","2.427505429139","1.09956206092357","0.0272650490127133"
"94","antiInIso2","endow","","-4.95686807174234e-12",NA,NA
"95","antiInIso2","creation","","9.55991508324055","445.596553622","0.982883342620526"
"96","in2Plus","eval","","2.34065640291783","0.953897090875218","0.0141362283717787"
"97","in2Plus","endow","","-7.5524405633665e-12",NA,NA
"98","in2Plus","creation","","8.37657446165282","7298.94844070128","0.999084314949949"
"99","in3Plus","eval","","-1.25914065588808","1.21001367961367","0.298061069726863"
"100","in3Plus","endow","","5.25399378150008e-12",NA,NA
"101","in3Plus","creation","","-2.6034600993792","3.61725677537782","0.471689228806525"
"102","isolatePop","eval","","-32.7305136931976","106.764319086688","0.75917228564547"
"103","isolatePop","endow","","-58.6595269253957","46.2226275558049","0.204417819711257"
"104","isolatePop","creation","","-47.3514711097919","67.5575497437621","0.48336187240018"
"105","outOutAss","eval","","0.309551070192946","0.306489996020332","0.312501270514339"
"106","outOutAss","endow","","0.647990075924211","1.26148146259946","0.607480017553006"
"107","outOutAss","creation","","0.847528112541781","0.57552132581654","0.140851701685026"
"108","outInAss","eval","","0.350606932397539","0.311133455476877","0.259797482421558"
"109","outInAss","endow","","-5.83144741915142","135.623150463119","0.965703579580442"
"110","outInAss","creation","","1.05289216383919","0.566225641518886","0.0629574038425801"
"111","inOutAss","eval","","-0.238712470774193","0.537737188071235","0.657100184509307"
"112","inOutAss","endow","","1.80620571698568","1.52913794168572","0.237526403188307"
"113","inOutAss","creation","","-0.839267569787064","0.89071482016395","0.346069527553352"
"114","inInAss","eval","","-0.0355512116225578","0.549209799899238","0.948387727728309"
