"","shortName","type","inter1","estimate","se","Waldpval"
"1","recip","eval","","3.51778353558229","0.908069374301126","0.000107100797910875"
"2","transTrip","eval","","0.801744120429154","0.282511062257205","0.00454083976445496"
"3","transTrip","creation","","1.45656883467003","0.566346050261524","0.0101150649981624"
"4","transTrip1","eval","","1.50879760036828","0.592141141746337","0.0108330948159572"
"5","transTrip1","creation","","2.8478364838622","1.02631508503162","0.0055232787326237"
"6","transTrip2","eval","","1.59116435977896","0.58927586329643","0.00692972119297075"
"7","transTrip2","creation","","3.0476074322501","1.08184177817859","0.00484662752288878"
"8","transMedTrip","eval","","1.45662790551715","0.539008966825076","0.00688370189554321"
"9","transRecTrip2","eval","","1.7957116731979","0.775106203238145","0.0205184527991562"
"10","transRecTrip2","creation","","3.74488444389132","1.76756460903662","0.0341184451081413"
"11","cycle3","eval","","1.17704725458729","0.54932845670706","0.0321370241949255"
"12","transTies","eval","","1.33061683504985","0.510059565981149","0.00908741560388659"
"13","balance","eval","","0.648057372795286","0.31697811619482","0.0409055429038226"
"14","denseTriads","eval","","0.903416498982754","0.380164190731379","0.0174832079107377"
"15","gwespFF","eval","","1.88544377354377","0.602596087936596","0.00175480964758978"
"16","gwespFF","creation","","3.69091442232331","1.14416758738075","0.00125598622491596"
"17","gwespBB","eval","","1.48397797154946","0.598730584110868","0.0131921151769453"
"18","gwespBB","endow","","4.17062620013897","1.91281359101889","0.0292306334330986"
"19","gwespFB","eval","","2.00741021470993","0.644126760219086","0.00183022120277621"
"20","gwespFB","creation","","4.0392555652532","1.432369972339","0.00480265496540921"
"21","gwespBF","eval","","1.84752448720487","0.677044870522402","0.00635639773609686"
"22","sharedPop","endow","","-104.111600749027","29.5942667551554","0.000434869376874758"
"23","antiInIso2","eval","","2.35803981725657","1.00904727812347","0.0194445269728691"
"24","in2Plus","eval","","2.31163087849072","1.060761002708","0.0293153788382418"
"25","outInAss","creation","","1.02216515691653","0.520969198915431","0.0497572129797271"
"26","Jin","eval","","6.06131875435158","2.16924094667603","0.00520263837382928"
"27","Jout","eval","","6.37569329272481","2.59213708015631","0.0139081039982872"
"28","Jout","creation","","9.59852743231509","4.73398706913494","0.0426033492100577"
"29","simXTransTrip","creation","alcohol2","12.2480654339664","5.61874972714696","0.0292681356466429"
"30","sameX","eval","alcohol2","1.09839599975811","0.547043512044811","0.0446563805503785"
"31","sameX","endow","alcohol2","4.70873741772854","1.51054336300336","0.00182548289987683"
"32","sameXOutAct","endow","alcohol2","4.85507200885298","1.5921990100055","0.00229385101692614"
"33","sameXTransTrip","eval","alcohol2","3.00840070723132","1.47402882765811","0.0412570400313687"
"34","sameXTransTrip","endow","alcohol2","198.960175209696","82.1322588268939","0.0154168231938775"
"35","sameXTransTrip","creation","alcohol2","3.83704749463967","1.94321738948974","0.0483152869021182"
"36","diffXTransTrip","eval","alcohol2","0.801975820064006","0.366911512258422","0.0288341037087803"
"37","diffXTransTrip","creation","alcohol2","1.48730529235229","0.602688768702371","0.0135952585558673"
